feature_subset,pipeline,seed,n_features,distinct_train_vectors,runtime_sec,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,hungarian_accuracy,silhouette,davies_bouldin,calinski_harabasz,selected_k,val_silhouette,selected_n_neighbors,selected_min_cluster_size,selected_min_samples,umap_fallback_ratio,selected_latent_dim
F0,A1,7,19,3247,1.95,5,0.0,0.45219268841145616,0.5985291865749174,0.5966228720355697,0.5451570396928155,0.5848888888888889,0.35114977602671027,1.5325056822328018,550.6201065958767,5,0.3460523836355282,,,,0.0,
F0,A1,42,19,3247,0.1,5,0.0,0.5469676669365455,0.6643949567564605,0.6628020210790072,0.6279546291590247,0.6666666666666666,0.350100679035421,1.5294304114765402,551.5162627071776,5,0.34182081344143717,,,,0.0,
F0,A1,2026,19,3247,0.1,5,0.0,0.45584830279018557,0.5992817539962106,0.5973806312888983,0.5521614582530718,0.5911111111111111,0.35082843224185917,1.5328914823058704,551.0508454454448,5,0.34525660021579463,,,,0.0,
F0,A3,7,19,3247,15.18,5,0.0,0.45131395615421305,0.5610172950969606,0.559048225596126,0.6480642175717539,0.6471111111111111,0.47298794984817505,0.8122715052161924,1432.631591796875,5,0.46399229764938354,,,,0.0,2.0
F0,A3,42,19,3247,11.19,5,0.0,0.45749595944955557,0.5678879102366999,0.5659401218452775,0.6606946508247808,0.6533333333333333,0.4570379853248596,0.8077406917906507,1343.0103759765625,5,0.45547157526016235,,,,0.0,2.0
F0,A3,2026,19,3247,11.11,5,0.0,0.5316213009157629,0.6164587264148171,0.6147331737446815,0.7000631763098176,0.7013333333333334,0.4532463252544403,0.8352748969046052,1279.0338134765625,5,0.44015005230903625,,,,0.0,2.0
F2,A1,7,5,82,0.07,5,0.0,0.44646407160979995,0.5876610372383354,0.5857039120220282,0.5426126140003347,0.5822222222222222,0.6692081032093035,0.5660264081650661,1623.7260463636812,5,0.6617665920353861,,,,0.0,
F2,A1,42,5,82,0.07,5,0.0,0.44646407160979995,0.5876610372383354,0.5857039120220282,0.5426126140003347,0.5822222222222222,0.6692081032093035,0.5660264081650661,1623.726046363681,5,0.6617665920353861,,,,0.0,
F2,A1,2026,5,82,0.07,5,0.0,0.44646407160979995,0.5876610372383354,0.5857039120220282,0.5426126140003347,0.5822222222222222,0.6692081032093035,0.5660264081650661,1623.7260463636812,5,0.6617665920353861,,,,0.0,
F2,A3,7,5,82,6.38,5,0.0,0.4458067312452345,0.5782790103108559,0.5762763864408801,0.5434468640492521,0.584,0.7162981629371643,0.4709285931483942,2911.29443359375,5,0.707635223865509,,,,0.0,2.0
F2,A3,42,5,82,6.48,5,0.0,0.44461262718741557,0.5782218300745385,0.5762214835718187,0.5416774552751616,0.5813333333333334,0.7118209600448608,0.5149642640568309,2378.330078125,5,0.7075547575950623,,,,0.0,4.0
F2,A3,2026,5,82,6.58,5,0.0,0.44358311528248556,0.5760286593213445,0.5740182453355189,0.5407106937070209,0.5804444444444444,0.7321807146072388,0.45778008722426833,3222.454345703125,5,0.7241877317428589,,,,0.0,2.0
F3,A1,7,4,91,0.07,5,0.0,0.3418596989182454,0.5306230645924856,0.5284317502660338,0.4718466616270115,0.49866666666666665,0.6666304353308357,0.7341614267778256,2551.4474226194206,5,0.6728385578730158,,,,0.0,
F3,A1,42,4,91,0.07,5,0.0,0.3418596989182454,0.5306230645924858,0.528431750266034,0.4718466616270115,0.49866666666666665,0.6666304353308357,0.7341614267778256,2551.4474226194206,5,0.6728385578730158,,,,0.0,
F3,A1,2026,4,91,0.07,5,0.0,0.3418596989182454,0.5306230645924858,0.528431750266034,0.4718466616270115,0.49866666666666665,0.6666304353308357,0.7341614267778256,2551.4474226194206,5,0.6728385578730158,,,,0.0,
F3,A3,7,4,91,6.26,5,0.0,0.41619931447617475,0.574191399526397,0.5722055311090982,0.540320710787009,0.5635555555555556,0.8227666616439819,0.315990918844861,22617.68359375,5,0.8245001435279846,,,,0.0,2.0
F3,A3,42,4,91,6.53,5,0.0,0.40977781211289205,0.568526234155053,0.5665109900553771,0.5248744075928217,0.552,0.7916352152824402,0.44410884897863684,9357.828125,5,0.7881118655204773,,,,0.0,2.0
F3,A3,2026,4,91,6.3,5,0.0,0.42075575711165986,0.578912225796353,0.5769470497270454,0.5417768587357433,0.5662222222222222,0.8399798274040222,0.25848473438751157,27789.41796875,5,0.8444582223892212,,,,0.0,2.0
F4,A1,7,5,22,0.07,5,0.0,0.40283211503054783,0.5176390126349715,0.5152075883387666,0.3797022932611772,0.4693333333333333,0.8701609402469809,0.408300100957979,5461.789150751981,5,0.8786130466647778,,,,0.0,
F4,A1,42,5,22,0.07,5,0.0,0.40283211503054783,0.5176390126349715,0.5152075883387666,0.3797022932611772,0.4693333333333333,0.8701609402469809,0.40830010095797886,5461.789150751979,5,0.8786130466647778,,,,0.0,
F4,A1,2026,5,22,0.07,5,0.0,0.40283211503054783,0.5176390126349715,0.5152075883387666,0.3797022932611772,0.4693333333333333,0.8701609402469809,0.408300100957979,5461.789150751981,5,0.8786130466647778,,,,0.0,
F4,A3,7,5,22,6.48,5,0.0,0.4017514202343441,0.5160341697181141,0.513596712298445,0.3824637899201821,0.4711111111111111,0.9456487894058228,0.13169736369965943,56874.41796875,5,0.9537091851234436,,,,0.0,4.0
F4,A3,42,5,22,6.58,5,0.0,0.4017514202343441,0.5160341697181141,0.513596712298445,0.3824637899201821,0.4711111111111111,0.9540495872497559,0.11070736579860374,63503.48046875,5,0.9599097371101379,,,,0.0,4.0
F4,A3,2026,5,22,6.56,5,0.0,0.4017514202343441,0.5160341697181141,0.513596712298445,0.3824637899201821,0.4711111111111111,0.9589465856552124,0.07610777144985023,67083.8203125,5,0.9620795249938965,,,,0.0,2.0
F6,A1,7,9,443,0.08,5,0.0,0.44299914566726206,0.5919526468158304,0.5900115170784695,0.5407992868243646,0.5804444444444444,0.5429954757564193,0.9286124761639165,1051.0912542952804,5,0.5413790685151948,,,,0.0,
F6,A1,42,9,443,0.08,5,0.0,0.44299914566726206,0.5919526468158305,0.5900115170784697,0.5407992868243646,0.5804444444444444,0.5429954757564193,0.9286124761639165,1051.0912542952804,5,0.5413790685151948,,,,0.0,
F6,A1,2026,9,443,0.08,5,0.0,0.44299914566726206,0.5919526468158305,0.5900115170784697,0.5407992868243646,0.5804444444444444,0.5429954757564193,0.9286124761639165,1051.0912542952804,5,0.5413790685151948,,,,0.0,
F6,A3,7,9,443,11.03,5,0.0,0.44612392884527724,0.5932723131863525,0.5913391960374502,0.543859340361084,0.5831111111111111,0.6821163296699524,0.5846255286883846,2259.179931640625,5,0.6732065677642822,,,,0.0,4.0
F6,A3,42,9,443,11.18,5,0.0,0.44612392884527724,0.5932723131863525,0.5913391960374502,0.543859340361084,0.5831111111111111,0.7035582065582275,0.5661585704610835,3118.367919921875,5,0.6927626729011536,,,,0.0,4.0
F6,A3,2026,9,443,10.84,5,0.0,0.4433986005376236,0.5862870383480868,0.5843193569355305,0.5418581421920645,0.5822222222222222,0.6849760413169861,0.5598382113369665,2095.503173828125,5,0.6742033362388611,,,,0.0,2.0
F7,A1,7,9,268,0.07,5,0.0,0.4458992453126901,0.5850191456681962,0.5830353067334961,0.5292409393356687,0.5715555555555556,0.5066547333143816,0.8950899676073588,1129.7556051536717,5,0.501382545860398,,,,0.0,
