criterion,model,feature_set,k,stability_ari,val_silhouette,val_calinski_harabasz,val_davies_bouldin,test_ari,test_nmi,test_ami,test_macro_f1,test_hungarian_accuracy,test_majority_accuracy,covariance_type,bic,aic
kmeans_max_silhouette,kmeans,F13_core_temporal,3,1.0,0.43138912527595236,890.6085228740038,1.1357418963432198,0.5840795223547082,0.7220014586015515,0.7212566766096415,0.4557244932629983,0.5902222222222222,0.5902222222222222,,,
kmeans_max_calinski_harabasz,kmeans,F13_core_temporal,2,1.0,0.4247218141365136,964.5507416309807,1.0003655733720238,0.36455460931872347,0.5588656502152985,0.5581757633446285,0.2328215437780449,0.4000000000000001,0.4000000000000001,,,
kmeans_min_davies_bouldin,kmeans,F13_core_temporal,2,1.0,0.4247218141365136,964.5507416309807,1.0003655733720238,0.36455460931872347,0.5588656502152985,0.5581757633446285,0.2328215437780449,0.4000000000000001,0.4000000000000001,,,
kmeans_max_stability,kmeans,F13_core_temporal,2,1.0,0.4247218141365136,964.5507416309807,1.0003655733720238,0.36455460931872347,0.5588656502152985,0.5581757633446285,0.2328215437780449,0.4000000000000001,0.4000000000000001,,,
gmm_min_bic_diag,gmm,F13_core_temporal,9,,,,,0.4239149707354646,0.5907411646576096,0.5875137294768603,0.6091806864217646,0.5265185185185185,0.7434074074074074,diag,-292333.2739046915,-294749.555779547
gmm_min_aic_diag,gmm,F13_core_temporal,9,,,,,0.4239149707354646,0.5907411646576096,0.5875137294768603,0.6091806864217646,0.5265185185185185,0.7434074074074074,diag,-292333.2739046915,-294749.555779547
gmm_min_bic_full,gmm,F13_core_temporal,10,,,,,0.421894421617195,0.5949940913856658,0.5914961732875738,0.5880151899219482,0.4930370370370371,0.7392592592592592,full,-532381.7728527155,-547542.6284207628
gmm_min_aic_full,gmm,F13_core_temporal,10,,,,,0.421894421617195,0.5949940913856658,0.5914961732875738,0.5880151899219482,0.4930370370370371,0.7392592592592592,full,-532381.7728527155,-547542.6284207628
kmeans_max_silhouette,kmeans,F0_core_temporal,3,1.0,0.4349489402673459,901.9466456301711,1.1580864579658714,0.594351005567618,0.7374616138339785,0.7367591323335089,0.45876060864935786,0.5946666666666667,0.5946666666666667,,,
kmeans_max_calinski_harabasz,kmeans,F0_core_temporal,2,1.0,0.4305264595850879,979.5148588080282,0.9821463717781901,0.36641364152770667,0.566466579488517,0.5657880363545467,0.23324595742440177,0.4000000000000001,0.4000000000000001,,,
kmeans_min_davies_bouldin,kmeans,F0_core_temporal,2,1.0,0.4305264595850879,979.5148588080282,0.9821463717781901,0.36641364152770667,0.566466579488517,0.5657880363545467,0.23324595742440177,0.4000000000000001,0.4000000000000001,,,
kmeans_max_stability,kmeans,F0_core_temporal,2,1.0,0.4305264595850879,979.5148588080282,0.9821463717781901,0.36641364152770667,0.566466579488517,0.5657880363545467,0.23324595742440177,0.4000000000000001,0.4000000000000001,,,
gmm_min_bic_diag,gmm,F0_core_temporal,10,,,,,0.3453114661342389,0.5397756260889336,0.5358339314170278,0.544880258009406,0.4491851851851852,0.6880000000000001,diag,-459804.25696638756,-463146.34249438066
gmm_min_aic_diag,gmm,F0_core_temporal,10,,,,,0.3453114661342389,0.5397756260889336,0.5358339314170278,0.544880258009406,0.4491851851851852,0.6880000000000001,diag,-459804.25696638756,-463146.34249438066
gmm_min_bic_full,gmm,F0_core_temporal,10,,,,,0.39620259483512693,0.5701755877787128,0.5664244577178318,0.5728637885175124,0.49333333333333335,0.6951111111111112,full,-752330.2079188951,-775370.2435136453
gmm_min_aic_full,gmm,F0_core_temporal,10,,,,,0.39620259483512693,0.5701755877787128,0.5664244577178318,0.5728637885175124,0.49333333333333335,0.6951111111111112,full,-752330.2079188951,-775370.2435136453
