feature_subset,pipeline,seed,n_features,distinct_train_vectors,runtime_sec,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,hungarian_accuracy,silhouette,davies_bouldin,calinski_harabasz,selected_k,val_silhouette,selected_n_neighbors,selected_min_cluster_size,selected_min_samples,umap_fallback_ratio,selected_latent_dim
F0,A1,7,19,3247,2.03,3,0.0,0.5230403484373427,0.6655888312358036,0.6646847233273985,0.4356840555464351,0.5626666666666666,0.4399245585384101,1.1299596914516634,798.6817020051456,3.0,0.43828886274666495,,,,0.0,
F0,A1,42,19,3247,0.44,3,0.0,0.5230403484373427,0.6655888312358036,0.6646847233273985,0.4356840555464351,0.5626666666666666,0.4399245585384101,1.1299596914516634,798.6817020051456,3.0,0.43828886274666495,,,,0.0,
F0,A1,2026,19,3247,0.44,3,0.0,0.5230403484373427,0.6655888312358036,0.6646847233273986,0.4356840555464351,0.5626666666666666,0.4399245585384101,1.1299596914516634,798.6817020051454,3.0,0.43828886274666495,,,,0.0,
F0,A2,7,19,3247,81.55,17,0.2693333333333333,0.10967387667618542,0.2847714521620722,0.2740401646071559,0.2996909484897055,0.7642857142857142,0.5946723818778992,0.7389332605937691,434.35003662109375,,0.5612579584121704,15.0,100.0,25.0,0.0008888888888888889,
F0,A2,42,19,3247,38.09,8,0.248,0.1732003338375809,0.32183803265538574,0.3165374101829103,0.40880321779777723,0.5956006768189509,0.592949628829956,0.5773221250759506,871.2532348632812,,0.6014893651008606,50.0,250.0,5.0,0.0,
F0,A2,2026,19,3247,37.84,9,0.23377777777777778,0.16710449854536372,0.3385585810304337,0.33287454475735734,0.3911687493047548,0.6138059701492538,0.5855665802955627,0.5852663112779597,789.9520874023438,,0.5660276412963867,50.0,250.0,5.0,0.0,
F0,A3,7,19,3247,23.8,3,0.0,0.5036825552460303,0.623657278719589,0.6226442567727257,0.4296100084064654,0.5591111111111111,0.5219035744667053,0.6709340437836545,1374.2542724609375,3.0,0.5084631443023682,,,,0.0,2.0
F0,A3,42,19,3247,17.42,10,0.0,0.3671571562331744,0.5180493791914272,0.5139052575130749,0.6129211867319754,0.7455696202531645,0.526074230670929,0.6299709209118699,1662.4942626953125,10.0,0.5290811657905579,,,,0.0,2.0
F0,A3,2026,19,3247,14.84,3,0.0,0.49066049842891485,0.5981833463566182,0.5971083297933559,0.4180903931723231,0.5475555555555556,0.5067606568336487,0.6989592824018466,1324.276611328125,3.0,0.4997262954711914,,,,0.0,2.0
F2,A1,7,5,82,0.4,10,0.0,0.34667223134551284,0.5110929208386998,0.5064657773658272,0.5844621194127357,0.6396206533192834,0.7660476449738218,0.4974309736344951,2302.29002520442,10.0,0.7657134491805078,,,,0.0,
F2,A1,42,5,82,0.4,10,0.0,0.34526523856125696,0.5048697378953232,0.5001144696361682,0.5844621194127357,0.6396206533192834,0.7662825840048859,0.5373079090327982,2336.909969255112,10.0,0.7685601353680102,,,,0.0,
F2,A1,2026,5,82,0.4,10,0.0,0.34526523856125696,0.5048697378953232,0.5001144696361682,0.5844621194127357,0.6396206533192834,0.7662825840048859,0.5373079090327981,2336.909969255112,10.0,0.7685601353680102,,,,0.0,
F2,A2,7,5,82,105.2,8,0.31822222222222224,0.081430228016883,0.2050385232440564,0.1985527819076422,0.3563592233276234,0.5549348230912476,0.41354379057884216,1.169304296319223,195.10772705078125,,0.42576056718826294,50.0,250.0,25.0,0.029333333333333333,
F2,A2,42,5,82,104.19,15,0.3982222222222222,0.06912308068118249,0.24621430032086639,0.2350314625303172,0.3240151190841978,0.6493506493506493,0.4075291156768799,1.072020956490012,169.50254821777344,,0.4081699848175049,15.0,100.0,25.0,0.07466666666666667,
F2,A2,2026,5,82,101.62,20,0.2648888888888889,0.05963022220202066,0.2386593535405103,0.22528248920206428,0.24513683042512396,0.5170454545454546,0.427412211894989,1.0647423892661805,161.8916015625,,0.4239591658115387,15.0,100.0,5.0,0.006222222222222222,
F2,A3,7,5,82,8.4,9,0.0,0.34541761465323517,0.5040506414378692,0.49990021367984,0.5822728206966683,0.6381856540084389,0.7959761023521423,0.38156376618005705,5603.23291015625,9.0,0.8000834584236145,,,,0.0,2.0
F2,A3,42,5,82,8.17,10,0.0,0.3391380490467352,0.4984630235738266,0.4939220212825748,0.5632964663117536,0.6377952755905512,0.8666602373123169,0.34405914966144147,7669.6767578125,10.0,0.8583431243896484,,,,0.0,2.0
F2,A3,2026,5,82,8.26,9,0.0,0.3498560941231236,0.5015889803656212,0.4976398977147862,0.5848711943944387,0.6621160409556314,0.8297075033187866,0.39108725711855774,5771.81103515625,9.0,0.8307964205741882,,,,0.0,2.0
F3,A1,7,4,91,0.48,10,0.0,0.3260628517060879,0.5175896299156365,0.5130476458430401,0.49793969661497695,0.6011363636363637,0.7693402889117925,0.6857827393073628,2946.204514597284,10.0,0.7612153002028874,,,,0.0,
F3,A1,42,4,91,0.49,10,0.0,0.32596346520489516,0.5287555440659903,0.52425964011707,0.4903506574665285,0.5930493273542601,0.7540848595711803,0.6765599928161414,2812.7822030171797,10.0,0.755587779093931,,,,0.0,
F3,A1,2026,4,91,0.48,10,0.0,0.3152941267838453,0.5214852443833374,0.5169612587351244,0.48028205816487785,0.5863636363636363,0.752718253727504,0.6863015861044401,2838.6534472475632,10.0,0.7534654815553171,,,,0.0,
F3,A2,7,4,91,97.92,5,0.5173333333333333,0.13534505120844662,0.3074342543310489,0.30332801203544657,0.32490845086582676,0.4861878453038674,0.5635287761688232,0.783776191576171,586.8710327148438,,0.5741585493087769,50.0,250.0,25.0,0.0,
F3,A2,42,4,91,96.89,20,0.3804444444444444,0.06829884948114137,0.23446545275282515,0.22003953865133116,0.23010481040093192,0.632,0.47050732374191284,0.9279768300657496,239.1214141845703,,0.4688117802143097,15.0,100.0,25.0,0.0,
F3,A2,2026,4,91,121.49,17,0.30666666666666664,0.09560234570651024,0.2763746754347438,0.26484550759898,0.2748114735136138,0.5165876777251185,0.45584309101104736,0.9867166008343056,289.62158203125,,0.4721250534057617,15.0,100.0,5.0,0.0,
