feature_subset,preprocessing,mode,seed,n_features,distinct_train_vectors,runtime_sec,selected_k,val_silhouette,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,hungarian_accuracy,silhouette,davies_bouldin,calinski_harabasz
F0,standard,forced_k5,7,19,3247,1.69,5,0.34314367992178196,5,0.0,0.5455795403686942,0.6634208307787759,0.6618231820922617,0.6270531283412175,0.6657777777777778,0.3512337526730783,1.535090751185283,551.1412550140516
F0,standard,forced_k5,42,19,3247,0.11,5,0.34314367992178196,5,0.0,0.5455795403686942,0.6634208307787757,0.6618231820922614,0.6270531283412175,0.6657777777777778,0.3512337526730783,1.535090751185283,551.1412550140515
F0,standard,forced_k5,2026,19,3247,0.11,5,0.34314367992178196,5,0.0,0.5455795403686942,0.6634208307787759,0.6618231820922617,0.6270531283412175,0.6657777777777778,0.3512337526730783,1.535090751185283,551.1412550140515
F0,standard_l2,forced_k5,7,19,3247,0.11,5,0.2666162486572612,5,0.0,0.5673749635448563,0.6484111189195746,0.6468337093387981,0.7244472172056822,0.7244444444444444,0.27320354735879404,1.5649596367935756,589.4080207018889
F0,standard_l2,forced_k5,42,19,3247,0.1,5,0.2666162486572612,5,0.0,0.5673749635448563,0.6484111189195746,0.6468337093387981,0.7244472172056822,0.7244444444444444,0.27320354735879404,1.564959636793576,589.4080207018889
F0,standard_l2,forced_k5,2026,19,3247,0.1,5,0.26619428497184433,5,0.0,0.5689381928338559,0.6492804278262546,0.6477070894641858,0.7253642419495874,0.7253333333333334,0.2730154812784633,1.5665562654781806,589.2333046941159
F7,standard,forced_k5,7,9,268,0.08,5,0.501382545860398,5,0.0,0.4458992453126901,0.5850191456681962,0.5830353067334961,0.5292409393356687,0.5715555555555556,0.5066547333143816,0.8950899676073588,1129.7556051536717
F7,standard,forced_k5,42,9,268,0.09,5,0.501382545860398,5,0.0,0.4458992453126901,0.5850191456681962,0.5830353067334961,0.5292409393356687,0.5715555555555556,0.5066547333143816,0.8950899676073588,1129.7556051536715
F7,standard,forced_k5,2026,9,268,0.09,5,0.501382545860398,5,0.0,0.4458992453126901,0.5850191456681962,0.5830353067334961,0.5292409393356687,0.5715555555555556,0.5066547333143816,0.8950899676073588,1129.7556051536712
F7,standard_l2,forced_k5,7,9,268,0.08,5,0.5325698207413464,5,0.0,0.4499814924655265,0.5889392895274481,0.5869717701303834,0.5308204548686135,0.5751111111111111,0.5389333789303861,0.8666021628467568,1223.1768900138004
F7,standard_l2,forced_k5,42,9,268,0.08,5,0.5325698207413464,5,0.0,0.4499814924655265,0.5889392895274482,0.5869717701303835,0.5308204548686135,0.5751111111111111,0.5389333789303861,0.8666021628467568,1223.1768900138004
F7,standard_l2,forced_k5,2026,9,268,0.08,5,0.5325698207413464,5,0.0,0.4499814924655265,0.5889392895274482,0.5869717701303835,0.5308204548686135,0.5751111111111111,0.5389333789303861,0.8666021628467568,1223.1768900138004
F11,standard,forced_k5,7,14,723,0.09,5,0.4774663386478359,5,0.0,0.44559016281156455,0.5966798855636658,0.5947631732859451,0.5432634759188399,0.5822222222222222,0.48446681134652436,1.2240411239108373,775.8925017862684
F11,standard,forced_k5,42,14,723,0.1,5,0.4774663386478359,5,0.0,0.44559016281156455,0.5966798855636659,0.5947631732859452,0.5432634759188399,0.5822222222222222,0.48446681134652436,1.2240411239108373,775.8925017862686
F11,standard,forced_k5,2026,14,723,0.09,5,0.4774663386478359,5,0.0,0.44559016281156455,0.5966798855636658,0.5947631732859451,0.5432634759188399,0.5822222222222222,0.48446681134652436,1.2240411239108373,775.8925017862686
F11,standard_l2,forced_k5,7,14,723,0.09,5,0.46526641653263534,5,0.0,0.45591808852594834,0.600288456804242,0.5983946343354742,0.5476933895194965,0.5866666666666667,0.4718867880933475,1.2370809041078463,868.3520998052755
F11,standard_l2,forced_k5,42,14,723,0.09,5,0.4335021582556813,5,0.0,0.475162787981904,0.5865107805095086,0.5846344474030029,0.6735071721522343,0.6808888888888889,0.43373669453094743,1.0962129659572866,857.1899177212301
F11,standard_l2,forced_k5,2026,14,723,0.09,5,0.4335021582556813,5,0.0,0.475162787981904,0.5865107805095088,0.584634447403003,0.6735071721522343,0.6808888888888889,0.43373669453094743,1.0962129659572866,857.1899177212301
F13,standard,forced_k5,7,14,3211,0.1,5,0.3646639385807779,5,0.0,0.44299914566726206,0.5919526468158305,0.5900115170784697,0.5407992868243646,0.5804444444444444,0.36383331097430577,1.3253422909564114,592.3583214401037
F13,standard,forced_k5,42,14,3211,0.1,5,0.3646639385807779,5,0.0,0.44299914566726206,0.5919526468158304,0.5900115170784695,0.5407992868243646,0.5804444444444444,0.36383331097430577,1.3253422909564114,592.3583214401041
F13,standard,forced_k5,2026,14,3211,0.1,5,0.3646639385807779,5,0.0,0.44299914566726206,0.5919526468158305,0.5900115170784697,0.5407992868243646,0.5804444444444444,0.36383331097430577,1.3253422909564114,592.3583214401037
F13,standard_l2,forced_k5,7,14,3211,0.09,5,0.304880293887527,5,0.0,0.5520456497120043,0.6355734087863997,0.6339368227861787,0.7177030884524982,0.7173333333333334,0.31049986121916956,1.4221598250281111,621.7205571063173
F13,standard_l2,forced_k5,42,14,3211,0.09,5,0.304880293887527,5,0.0,0.5520456497120043,0.6355734087863996,0.6339368227861786,0.7177030884524982,0.7173333333333334,0.31049986121916956,1.4221598250281111,621.7205571063174
F13,standard_l2,forced_k5,2026,14,3211,0.1,5,0.30489612222346985,5,0.0,0.5557563584749431,0.6411839595457008,0.6395717029636099,0.7194049314747641,0.7191111111111111,0.31092008255785847,1.4188891488256938,621.941542254178
F15,standard,forced_k5,7,14,3201,0.11,5,0.2618348710884779,5,0.0,0.4446516945544584,0.5599981805517315,0.5580040478449543,0.6400525104237382,0.6346666666666667,0.2738291751777333,1.5161978877817566,617.8222942006184
F15,standard,forced_k5,42,14,3201,0.11,5,0.2618348710884779,5,0.0,0.4446516945544584,0.5599981805517315,0.5580040478449543,0.6400525104237382,0.6346666666666667,0.2738291751777333,1.5161978877817568,617.8222942006184
F15,standard,forced_k5,2026,14,3201,0.1,5,0.2618348710884779,5,0.0,0.4446516945544584,0.5599981805517315,0.5580040478449543,0.6400525104237382,0.6346666666666667,0.2738291751777333,1.516197887781757,617.8222942006184
F15,standard_l2,forced_k5,7,14,3201,0.1,5,0.27308107403059945,5,0.0,0.43782065195783804,0.549749340486914,0.5477093915732876,0.6375309514259161,0.6328888888888888,0.28621923148663064,1.4872372929154785,614.057906572856
F15,standard_l2,forced_k5,42,14,3201,0.1,5,0.27308107403059945,5,0.0,0.43782065195783804,0.5497493404869139,0.5477093915732875,0.6375309514259161,0.6328888888888888,0.28621923148663064,1.4872372929154785,614.0579065728563
F15,standard_l2,forced_k5,2026,14,3201,0.09,5,0.27308107403059945,5,0.0,0.43782065195783804,0.5497493404869139,0.5477093915732875,0.6375309514259161,0.6328888888888888,0.28621923148663064,1.4872372929154785,614.0579065728564
