feature_subset,pipeline,seed,n_features,distinct_train_vectors,runtime_sec,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,hungarian_accuracy,silhouette,davies_bouldin,calinski_harabasz,selected_k,val_silhouette,selected_n_neighbors,selected_min_cluster_size,selected_min_samples,umap_fallback_ratio,selected_latent_dim
F0,A1,7,19,1587,1.76,3,0.0,0.4910497530102617,0.61475668563638,0.6115977627651212,0.4226963104756967,0.5493333333333333,0.4141766844987421,1.146828215198921,242.8294460774763,3,0.40594238165588037,,,,0.0,
F0,A1,42,19,1587,0.37,3,0.0,0.4910497530102617,0.61475668563638,0.6115977627651212,0.4226963104756967,0.5493333333333333,0.4141766844987421,1.146828215198921,242.82944607747623,3,0.40594238165588037,,,,0.0,
F0,A1,2026,19,1587,0.37,3,0.0,0.4910497530102617,0.61475668563638,0.6115977627651213,0.4226963104756967,0.5493333333333333,0.4141766844987421,1.1468282151989213,242.82944607747623,3,0.40594238165588037,,,,0.0,
F13,A1,7,14,1581,0.35,3,0.0,0.4905053263606076,0.6117075223727989,0.6085236634531431,0.4226581425074384,0.5493333333333333,0.42695235476405796,1.0883257044178214,266.2262224079354,3,0.43072618239047566,,,,0.0,
F13,A1,42,14,1581,0.36,3,0.0,0.4905053263606076,0.6117075223727989,0.6085236634531431,0.4226581425074384,0.5493333333333333,0.42695235476405796,1.0883257044178214,266.2262224079353,3,0.43072618239047566,,,,0.0,
F13,A1,2026,14,1581,0.36,3,0.0,0.4905053263606076,0.6117075223727989,0.6085236634531431,0.4226581425074384,0.5493333333333333,0.42695235476405796,1.0883257044178214,266.2262224079353,3,0.43072618239047566,,,,0.0,
F6,A1,7,9,351,0.31,4,0.0,0.4622037624207063,0.5956545115978514,0.5908085958078387,0.4086234440779049,0.5066666666666667,0.5436840278663206,0.8198281826097156,320.97050390281146,4,0.533146606653279,,,,0.0,
F6,A1,42,9,351,0.3,4,0.0,0.4622037624207063,0.5956545115978514,0.5908085958078387,0.4086234440779049,0.5066666666666667,0.5436840278663206,0.8198281826097156,320.97050390281146,4,0.533146606653279,,,,0.0,
F6,A1,2026,9,351,0.3,4,0.0,0.4622037624207063,0.5956545115978514,0.5908085958078387,0.4086234440779049,0.5066666666666667,0.5436840278663206,0.8198281826097156,320.97050390281146,4,0.533146606653279,,,,0.0,
F11,A1,7,14,547,0.34,3,0.0,0.4910497530102617,0.61475668563638,0.6115977627651212,0.4226963104756967,0.5493333333333333,0.4779688076047258,1.0128700645210993,277.0611240447486,3,0.4744380599974036,,,,0.0,
F11,A1,42,14,547,0.33,3,0.0,0.4910497530102617,0.61475668563638,0.6115977627651213,0.4226963104756967,0.5493333333333333,0.4779688076047258,1.0128700645210993,277.0611240447486,3,0.4744380599974036,,,,0.0,
F11,A1,2026,14,547,0.33,3,0.0,0.4910497530102617,0.61475668563638,0.6115977627651212,0.4226963104756967,0.5493333333333333,0.4779688076047258,1.0128700645210993,277.0611240447486,3,0.4744380599974036,,,,0.0,
F15,A1,7,14,1582,0.38,2,0.0,0.3420792006120028,0.5140605076533064,0.5117682667778317,0.23129791171028283,0.4,0.414509376170659,1.010642722058802,336.0556655586814,2,0.4243462522379251,,,,0.0,
F15,A1,42,14,1582,0.37,2,0.0,0.3420792006120028,0.5140605076533064,0.5117682667778317,0.23129791171028283,0.4,0.414509376170659,1.010642722058802,336.0556655586814,2,0.4243462522379251,,,,0.0,
F15,A1,2026,14,1582,0.37,2,0.0,0.3420792006120028,0.5140605076533064,0.5117682667778317,0.23129791171028283,0.4,0.414509376170659,1.010642722058802,336.0556655586814,2,0.4243462522379251,,,,0.0,
