feature_subset,model,seed,n_features,accuracy,macro_f1
F0,logistic_regression,2026,19,0.8933333333333333,0.8933542872086477
F0,random_forest,2026,19,0.9137777777777778,0.9136511751327026
F2,logistic_regression,2026,5,0.7066666666666667,0.708717522421792
F2,random_forest,2026,5,0.7164444444444444,0.6879487088523658
F3,logistic_regression,2026,4,0.6666666666666666,0.6457189710485793
F3,random_forest,2026,4,0.6693333333333333,0.6446289530040679
F4,logistic_regression,2026,5,0.6062222222222222,0.5005442092363389
F4,random_forest,2026,5,0.608,0.4974367143744406
F6,logistic_regression,2026,9,0.8186666666666667,0.8094715367944767
F6,random_forest,2026,9,0.8248888888888889,0.8170938705646847
F7,logistic_regression,2026,9,0.8382222222222222,0.8311310044695244
F7,random_forest,2026,9,0.8444444444444444,0.8377399219948373
F11,logistic_regression,2026,14,0.8426666666666667,0.8368104795218463
F11,random_forest,2026,14,0.856,0.8522002687503507
F13,logistic_regression,2026,14,0.8888888888888888,0.8889025634300511
F13,random_forest,2026,14,0.9048888888888889,0.904718616819709
F15,logistic_regression,2026,14,0.8933333333333333,0.8933674091918636
F15,random_forest,2026,14,0.9128888888888889,0.9127871849881805
