session_id,avg_time_per_page,avg_time_per_product,avg_time_per_review,time_to_first_product,time_to_first_cart,time_to_checkout,time_to_purchase,cart_to_purchase_time,product_views_before_cart,searches_before_cart,reviews_before_purchase,filters_before_purchase
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0002,350.0,2100.0,0.0,3700.0,6400.0,8800.0,0.0,0.0,1.0,1.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0005,740.0,1800.0,0.0,2900.0,5200.0,7700.0,0.0,0.0,1.0,0.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0008,820.0,2400.0,0.0,4300.0,7300.0,9200.0,0.0,0.0,1.0,0.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0011,433.3333333333333,1300.0,0.0,3800.0,9800.0,11600.0,0.0,0.0,2.0,1.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0014,633.3333333333334,1600.0,0.0,3500.0,5600.0,7800.0,0.0,0.0,1.0,1.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0017,700.0,2000.0,0.0,2600.0,5100.0,6900.0,0.0,0.0,1.0,0.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0020,1020.0,2300.0,0.0,4100.0,6900.0,8600.0,0.0,0.0,1.0,1.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0023,660.0,1700.0,0.0,2500.0,4700.0,6400.0,0.0,0.0,1.0,0.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0026,440.0,2200.0,0.0,3600.0,6300.0,8100.0,0.0,0.0,1.0,1.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0029,650.0,1200.0,0.0,3700.0,9700.0,11300.0,0.0,0.0,2.0,1.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0032,400.0,2000.0,0.0,3700.0,6200.0,8000.0,0.0,0.0,1.0,1.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0035,800.0,1900.0,0.0,2500.0,4900.0,6500.0,0.0,0.0,1.0,0.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0038,1100.0,2500.0,0.0,3400.0,6400.0,8000.0,0.0,0.0,1.0,1.0,0.0,0.0
llm-ecommerce-balanced-7500-v1-shard-2__bench_cart_abandoner_0041,620.0,1700.0,0.0,2700.0,4900.0,6600.0,0.0,0.0,1.0,0.0,0.0,0.0
